movie,genre
Avatar,science fiction action adventure
Interstellar,science fiction space drama
Inception,science fiction thriller action
Titanic,romance drama emotional
The Notebook,romance emotional drama
Avengers,superhero action adventure
Batman Begins,superhero dark action
The Martian,space science fiction survival
Gravity,space survival thriller
John Wick,action crime thriller
Joker,psychological drama thriller
Iron Man,superhero technology action
Doctor Strange,superhero fantasy action
The Dark Knight,crime action thriller
Spider Man No Way Home,superhero multiverse action
Pushpa,action crime drama
RRR,action historical drama
Baahubali,fantasy action epic
Baahubali 2,fantasy action war
KGF,action crime mass
KGF 2,action crime thriller
Salaar,action thriller mass
Devara,action sea drama
Eega,fantasy revenge drama
Magadheera,fantasy historical action
Ala Vaikunthapurramuloo,family comedy drama
Arjun Reddy,romance emotional drama
Geetha Govindam,romance comedy family
Pokiri,action crime mass
Businessman,crime action thriller
Athadu,action comedy thriller
Dookudu,action comedy entertainment
Gabbar Singh,action comedy police
Jalsa,comedy action romance
Khaleja,fantasy comedy action
Race Gurram,action comedy entertainment
Temper,police action drama
Sye,sports action drama
3 Idiots,comedy education drama
Dangal,sports inspirational drama
PK,comedy social fantasy
Pathaan,spy action thriller
Jawan,action thriller mass
Animal,crime action emotional
Kabir Singh,romance emotional drama
Zindagi Na Milegi Dobara,friendship travel comedy
Yeh Jawaani Hai Deewani,romance friendship drama
Bajrangi Bhaijaan,emotional family drama
Chennai Express,comedy action romance
War,spy action thriller
Don,crime thriller action
Dilwale Dulhania Le Jayenge,classic romance drama
Sholay,classic action drama
